C_w,L2_error_u,L2_error_curl_u,L2_error_p,L2_error_grad_p
1.0,1.411629422200795e-09,4.152485919456997e-08,5.538076118059116e-08,9.36505604663272e-06
1.5848931924611136,1.404454256595773e-09,3.99556930599529e-08,4.676688421630966e-08,8.900389978195678e-06
2.51188643150958,1.397518948847652e-09,3.858385595799391e-08,3.6560146530530283e-08,8.427834394534654e-06
3.981071705534973,1.3924403125310632e-09,3.8375578163868175e-08,2.6177543921308682e-08,8.098639709684907e-06
6.309573444801933,1.391272283548743e-09,4.2010002920514793e-08,1.9199557335530457e-08,8.235984157698985e-06
10.0,1.402901248080669e-09,6.597588589577965e-08,2.307609764769325e-08,1.04952273944791e-05
15.848931924611133,2.992415225938103e-09,8.840220213334207e-07,1.5597897810567916e-07,5.375994804686492e-05
25.118864315095795,1.372284794737174e-09,5.9291246134829894e-08,2.056269870511879e-08,3.6386589315401967e-06
39.81071705534973,1.3793352419165895e-09,1.2388332141689502e-08,2.9281645785743228e-08,5.057396591558225e-06
63.09573444801933,1.382502647313418e-09,1.1926105639251753e-08,3.400434929432344e-08,5.6494913002091215e-06
